title,director,cast,country,date_added,release_year,duration
My Entire High School Sinking Into the Sea,Dash Shaw,"Jason Schwartzman, Lena Dunham, Reggie Watts, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, Louisa Krause, John Cameron Mitchell, Matthew Maher",United States,"January 23, 2018",2016,77 min
"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,Bob Ross,,"August 25, 2021",2021,93 min
This Lady Called Life,Kayode Kasum,"Bisola Aiyeola, Efa Iwara, Molawa Onajobi, Tina Mba, Wale Ojo, Jemima Osunde, Lota Chukwu, Samuel Asa'ah, Michael Ejoor, Uche Elumelu",Nigeria,"April 23, 2021",2020,120 min
Don't F**k with Cats: Hunting an Internet Killer,Mark Lewis,,"United Kingdom, United States","December 18, 2019",2019,1 Season
Memoir of a Murderer,Shin-yeon Won,"Kyung-gu Seol, Nam-gil Kim, Seol-hyun Kim, Dal-su Oh, Seok-jeong Hwang, In-Gum Jung, Ki-jun Shin, Jin-young Jang, Rina Shin, Hye-yoon Kim",South Korea,"February 19, 2018",2017,118 min
Barbie & Her Sisters in a Pony Tale,Kyran Kelly,"Kelly Sheridan, Kazumi Evans, Claire Corlett, Ashlyn Drummond, Alex Kelly, Tabitha St. Germain, Shannon Chan-Kent",United States,"October 1, 2017",2013,74 min
Your Excellency,Funke Akindele,"Akin Lewis, Funke Akindele, Kemi Lala Akindoju, Shaffy Bello, Kunle Coker, Eku Edewor, Alexx Ekubo, Osas Ighodaro Ajibade, Seyi Law, Falz, Chigul, Deyemi Okanlawon, Beverly Osu, Toni Tones, Christian Paul, Bimbo Manuel, Helen Paul",,"July 10, 2020",2019,120 min
Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",India,"April 1, 2021",2012,133 min
Seven and Me,,"Leila Jolene, Flavio Parenti, Josefin Asplund",France,"October 15, 2017",2017,1 Season
Ask the StoryBots,,"Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis",United States,"July 6, 2021",2019,3 Seasons
Jewel's Catch One,C. Fitz,Jewel Thais-Williams,United States,"May 1, 2018",2016,84 min
The Men Who Stare at Goats,Grant Heslov,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick, Waleed Zuaiter, Stephen Root, Glenn Morshower, Nick Offerman, Tim Griffin, Rebecca Mader","United States, United Kingdom","June 4, 2019",2009,94 min
"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",,"Karol Modzelewski, Łukasz ""Lotek” Lodkowski",,"September 19, 2016",2016,65 min
Sky on Fire,Ringo Lam,"Daniel Wu, Joseph Chang, Amber Kuo, Zhang Jingchu, Ruoyun Zhang","China, Hong Kong","August 5, 2017",2016,100 min
Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",Maximilian Schmidt,,"August 3, 2021",2021,97 min
Hart of Dixie,,"Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel, Scott Porter, Tim Matheson, Kaitlyn Black, Ross Philips",United States," December 15, 2015",2014,4 Seasons
Our Lovers,Miguel Ángel Lamata,"Eduardo Noriega, Michelle Jenner, Fele Martínez, Amaia Salamanca",Spain,"April 14, 2017",2016,92 min
Gol Maal,Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Utpal Dutt, Shubha Khote, Manju Singh, Dina Pathak, Pushpa, David Abraham, Asrani",India,"December 31, 2019",1979,137 min
Money Trap,Yılmaz Erdoğan,"Yılmaz Erdoğan, Kıvanç Tatlıtuğ, Ezgi Mola, Bensu Soral, Rıza Kocaoğlu, Okan Çabalar, Güven Kıraç, Ahmet Mümtaz Taylan",Turkey,"April 26, 2019",2019,122 min
KENGAN ASHURA,,"Tatsuhisa Suzuki, Cho, Jouji Nakata, Yumi Uchiyama, Hayato Kaneko, Tetsu Inada, Yasuyuki Kase, Junya Enoki, Daisuke Namikawa, Ryuzo Hasuike","United States, Japan","October 31, 2019",2019,2 Seasons
The Angry Birds Movie 2,"Thurop Van Orman, John Rice","Jason Sudeikis, Rachel Bloom, Leslie Jones, Josh Gad, Bill Hader, Danny McBride, Awkwafina, Sterling K. Brown, Tiffany Haddish, Eugenio Derbez","Finland, United States","February 27, 2020",2019,97 min
Lunatics,,Chris Lilley,Australia,"April 19, 2019",2019,1 Season
Ghost Rider,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Wes Bentley, Sam Elliott, Donal Logue, Matt Long, Peter Fonda, Brett Cullen, Raquel Alessi, Laurence Breuls","United States, Australia","October 1, 2020",2007,110 min
The Houseboat,,"Olli Schulz, Fynn Kliemann",Germany,"March 9, 2021",2021,1 Season
Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",,"September 10, 2021",2021,93 min
Happy Go Lucky,Amarpreet G S Chabbra,"Amrinder Gill, Harish Verma, Sumeet Sandhu, Gurpreet Guggi, B.N. Sharma, Praneet Bhatt, Kuldeep Sharma",India,"October 1, 2018",2014,129 min
Get the Goat,Vitor Brandt,"Matheus Nachtergaele, Edmilson Filho, Letícia Lima, Leandro Ramos, Evelyn Castro, Valéria Vitoriano, Victor Allen, Renan Medeiros, Eyrio Okura, Jéssica Tamochunas, Marcondes Falcão, Juliano Cazarré",Brazil,"March 18, 2021",2021,98 min
Hi Score Girl,,"Kohei Amasaki, Sayumi Suzushiro, Yuuki Hirose, Kazuyuki Okitsu, Daiki Yamashita, Daria Midou, Satomi Arai, Shizuka Ito, Cho, Chinatsu Akasaki, Tomokazu Sugita, Yuichi Nakamura, Kana Ueda, Taketora, Hochu Otsuka, Hiroki Yasumoto",Japan,"April 9, 2020",2019,2 Seasons
Masha's Spooky Stories,,,"United States, Russia","October 1, 2016",2012,1 Season
Jezebel,Numa Perrier,"Tiffany Tenille, Numa Perrier, Stephen Barrington, Bobby Field, Rockwelle Dortch, Zoe Tyson, Dennis Jaffee, Jessa Zarubica, RiRia, Charlie Taylor, Amy Aitken, Brett Gelman",United States,"January 16, 2020",2019,86 min
The Hurricane Heist,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler","United Kingdom, United States","September 26, 2018",2018,103 min
Ajaibnya Cinta,,,,"April 14, 2021",2015,1 Season
Bewildered Bolbol,Khaled Marei,"Ahmed Helmy, Zeina, Shery Adel, Emy Samir Ghanim, Yousef Fawzy, Yasser El Tobgy, Wael Sami, Maryam Saleh",Egypt,"June 20, 2019",2010,112 min
Don't Go Breaking My Heart 2,Johnnie To,"Louis Koo, Gao Yuanyuan, Miriam Chin Wah Yeung, Vic Chou, Daniel Wu","Hong Kong, China","December 1, 2018",2014,113 min
Carrie,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",United States,"June 1, 2019",1976,98 min
Free Willy,Simon Wincer,"Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg, Michael Madsen, Michael Ironside, Richard Riehle, Mykelti Williamson, Michael Bacall, Danielle Harris","United States, France, Mexico","January 1, 2020",1993,112 min
How to Get Over a Breakup,"Joanna Lombardi, Bruno Ascenzo","Gisela Ponce de León, Karina Jordán, Jely Reátegui, Andrés Salas, Christopher Von Uckermann, Carlos Carlín",Peru,"October 20, 2018",2018,104 min
Dirty Money,,,United States,"March 11, 2020",2020,2 Seasons
Total Recall,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore","United States, Mexico","July 1, 2020",1990,114 min
​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,"September 1, 2018",2018,110 min
Counterfeiting in Suburbia,Jason Bourque,"Sarah Butler, Larissa Albuquerque, Kayla Wallace, Matthew MacCaull, James Dean, Alison Wandzura, Bruce Blain, Natalie Grace, Phillip Mitchell",Canada,"July 1, 2018",2018,88 min
Frequency,,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar",United States,"September 4, 2017",2016,1 Season
Alan Saldaña: Locked Up,Alex Díaz,Alan Saldaña,Mexico,"June 3, 2021",2021,49 min
White Christmas,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",United States,"November 15, 2020",1954,120 min
Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",United States,"August 1, 2021",1986,103 min
Why Are You Like This,,"Naomi Higgins, Olivia Junkeer, Wil King",Australia,"June 19, 2021",2021,1 Season
Feel Good,Ally Pankiw,"Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson, Tom Andrews, Tobi Bamtefa, Phil Burgers, Ophelia Lovibond, Adrian Lukis, Ritu Arya, Ramon Tikaram",United Kingdom,"June 4, 2021",2021,2 Seasons
Power Rangers Samurai: Clash of the Red Rangers,,"Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Rene Naufahu",United States,"January 1, 2016",2011,46 min
Treehouse Detectives,,"Brody Allen, Jenna Davis, Ryan Bartley, Philece Sampler, Leigh Kelly, Abby Trott","South Korea, United States","November 9, 2018",2018,2 Seasons
Aamir,Raj Kumar Gupta,"Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika, Gazala Amin, Allauddin Khan",India,"November 1, 2018",2008,95 min
Flying Guillotine 2,"Kang Cheng, Shan Hua","Feng Ku, Chung Wang, Szu Shih, Lung Ti, Lo Lieh, Szu-Chia Chen",Hong Kong,"July 31, 2018",1978,88 min
Figures of Speech,Ari Levinson,Chris Pine,United States,"December 21, 2016",2016,92 min
Undercover: How to Operate Behind Enemy Lines,John Ford,,United States,"March 31, 2017",1943,61 min
The Show,Giancarlo Esposito,"Josh Duhamel, Giancarlo Esposito, Famke Janssen, Sarah Wayne Callies, Caitlin Fitzgerald, Chris Ellis, Lucia Walters, James Franco",United States,"June 1, 2020",2017,105 min
True Grit,Henry Hathaway,"John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey",United States,"January 1, 2020",1969,128 min
Kalki,Dhilip Kumar,"Kishore Kumar G., Yasmin Ponnappa, Mithraboomi Saravanan",India,"March 1, 2018",2017,41 min
A Thin Line Between Love & Hate,Martin Lawrence,"Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown, Della Reese, Daryl Mitchell, Roger Mosley, Malinda Williams, Roger E. Mosley, Simbi Khali, Tangie Ambrose, Wendy Raquel Robinson, Stacii Jae Johnson, Faizon Love, Miguel A. Núñez Jr., Tracy Morgan",United States,"December 1, 2020",1996,108 min
The A List,,"Lisa Ambalavanar, Ellie Duckles, Savannah Baker, Cian Barry, Eleanor Bennett, Jacob Dudman, Rosie Dwyer, Jack Kane, Max Lohan, Nneka Okoye, Micheal Ward, Georgina Sadler, Indianna Ryan",United Kingdom,"July 6, 2021",2021,2 Seasons
Clickbait,Brad Anderson,"Zoe Kazan, Betty Gabriel, Adrian Grenier, Phoenix Raei, Abraham Lim, Jessica Collins, Camaron Engels, Jaylin Fletcher, Liz Alexander, Joyce Guy, Daniel Henshall, Ian Meadows, Jamie Timony, Steve Mouzakis, Becca Lish",,"August 25, 2021",2021,1 Season
Abyss,,"Park Bo-young, Ahn Hyo-seop, Lee Sung-jae, Lee Si-eon, Han So-hee, Kwon Soo-hyun, Kim Sa-rang, Ahn Se-ha, Yun Yoo-sun",South Korea,"May 7, 2019",2019,1 Season
The Clapper,Dito Montiel,"Ed Helms, Amanda Seyfried, Tracy Morgan, Brenda Vaccaro, P.J. Byrne, Leah Remini, Mickey Gooch Jr., Adam Levine, Russell Peters, Alan Thicke",United States,"May 1, 2018",2017,90 min
City of Tiny Lights,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird",United Kingdom,"July 21, 2017",2016,110 min
Sardaarji 2,Rohit Jugraj,"Jaswinder Bhalla, Sonam Bajwa, Diljit Dosanjh, Monica Gill","Australia, India","October 15, 2017",2016,145 min
Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard",United States,"August 1, 2021",2008,112 min
Zindagi Gulzar Hai,,"Sanam Saeed, Fawad Khan, Ayesha Omer, Mehreen Raheel, Sheheryar Munawar, Samina Peerzada, Waseem Abbas, Javed Sheikh, Hina Khawaja Bayat",Pakistan,"December 15, 2016",2012,1 Season
Supermarket Sweep,,,United States,"July 2, 2020",1993,1 Season
Ready,Anees Bazmee,"Salman Khan, Asin, Paresh Rawal, Mahesh Manjrekar, Anuradha Patel, Manoj Pahwa, Manoj Joshi, Puneet Issar, Sharat Saxena, Akhilendra Mishra, Zarine Khan, Arya Babbar",India,"October 22, 2017",2011,144 min
Thumper,Jordan Ross,"Eliza Taylor, Pablo Schreiber, Daniel Webber, Lena Headey, Ben Feldman, Grant Harvey, Jazzy De Lisser, Brett Rice",United States,"February 5, 2018",2017,93 min
Genius of the Ancient World,,Bettany Hughes,United Kingdom,"August 1, 2017",2015,1 Season
Weeds on Fire,Chi Fat Chan,"Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb",Hong Kong,"September 27, 2018",2016,95 min
Christmas Inheritance,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell, Michael Xavier, Neil Crone, Anthony Sherwood, Joanna Douglas, Martin Roach",United States,"December 15, 2017",2017,105 min
Equals,Drake Doremus,"Nicholas Hoult, Kristen Stewart, Jacki Weaver, Guy Pearce, Rebecca Hazlewood, Scott Lawrence, Kai Lennox, Rizwan Manji","United States, Indonesia","October 28, 2018",2015,102 min
Hashoter Hatov,,"Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin",Israel,"December 28, 2018",2015,1 Season
The Rap Game,,Jermaine Dupri,United States,"September 15, 2019",2016,1 Season
Haani,Amitoj Mann,"Sarabjit Cheema, Mahreen Kaleka, Harbhajan Mann, Anuj Sachdeva, Rupan Bal, Sonia Mann",India,"October 1, 2018",2013,137 min
Rememory,Mark Palansky,"Peter Dinklage, Julia Ormond, Martin Donovan, Anton Yelchin, Henry Ian Cusick, Evelyne Brochu, Matt Ellis, Colin Lawrence, Chad Krowchuk, Gracyn Shinyei","United Kingdom, United States, Canada","June 1, 2020",2017,112 min
Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,,,"September 28, 2019",2019,45 min
Merlin,James Hawes,"Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker",United Kingdom,"December 15, 2016",2012,5 Seasons
The Pharmacist,"Julia Willoughby Nason, Jenner Furst",,United States,"February 5, 2020",2020,1 Season
"Michael Bolton's Big, Sexy Valentine's Day Special","Scott Aukerman, Akiva Schaffer","Michael Bolton, Andy Samberg, Will Forte, Kenny G, Maya Rudolph, Adam Scott, Janeane Garofalo, Brooke Shields, Sinbad, Michael Sheen, Tim Robinson, Bob Saget, Mary Holland, Andy Richter, Colton Dunn, David Theune, Randall Park, Sarah Silverman, Mary Sohn, Fred Armisen, Matthew Kimbrough, Maya Erskine, Louie Anderson, Claudia O'Doherty, Kate Berlant, Baron Vaughn, Zachary Oyama, Casey Wilson, Sarah Shahi, Jimmy Graham, Luka Jones, Akiva Schaffer, Eric André, Scott Aukerman, Nicole Byer, Dave Ferguson, Tim Kalpakis, Mike Hanford, Mircea Monroe, Chris Parnell, Sal Stowers",United States,"February 7, 2017",2017,54 min
14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,"October 27, 2018",2018,89 min
Unicorn Store,Brie Larson,"Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford, Mamoudou Athie, Hamish Linklater, Martha MacIsaac, Karan Soni, Annaleigh Ashford",United States,"April 5, 2019",2019,92 min
Fate/Grand Order -First Order-,Hitoshi Namba,"Nobunaga Shimazaki, Rie Takahashi, Ayako Kawasumi, Madoka Yonezawa, Kenichi Suzumura, Tomokazu Sugita",Japan,"September 1, 2020",2016,72 min
Santana,"Chris Roland, Maradona Dias Dos Santos","Paulo Americano, Raul Rosario, Rapulana Seiphemo, David O'Hara, Hakeem Kae-Kazim, Neide Vieira, Cigano Satyohamba, Nompilo Gwala","South Africa, Angola","August 28, 2020",2020,107 min
A Love Song for Latasha,Sophia Nahli Allison,,United States,"September 21, 2020",2020,20 min
Dilan 1990,"Fajar Bustomi, Pidi Baiq","Vanesha Prescilla, Iqbaal Ramadhan, Debo Andryos, Giulio Parengkuan, Omara Esteghlal, Yoriko Angeline, Zulfa Maharani, Brandon Salim",Indonesia,"May 14, 2020",2018,109 min
RattleSnake - The Ahanna Story,Ramsey Nouah,"Stan Nze, Osas Ighodaro, Bucci Franklin, Odera Adimorah, Efa Iwara, Emeka Nwagbaraocha, Elma Mbadiwe, Norbert Young, Brutus Richard, Chinyere Wilfred, Sonny McDon, Chiwetalu Agu",Nigeria,"July 2, 2021",2020,136 min
Omniscient,,"Carla Salle, Sandra Corveloni, Jonathan Haagensen, Guilherme Prates, Luana Tanaka, Marcello Airoldi, Marco Antônio Pâmio",Brazil,"January 29, 2020",2020,1 Season
The Jungle School,Riri Riza,"Prisia Nasution, Nyungsang Bungo, Rukman Rosadi, Nadhira Suryadi, Ines Somellera",Indonesia,"October 30, 2018",2013,90 min
The Circle France,,,,"April 9, 2020",2020,1 Season
